FILE	ID	TWAS.Z	TWAS.P	JOINT.BETA	JOINT.BETA.SE	JOINT.Z	JOINT.P
/data/songy4/twas/output/weights//ENSG00000187010.wgt.RDat	ENSG00000187010	-5.0	5.1e-07	-5.0	1	-5.0	5.1e-07
/data/songy4/twas/output/weights//ENSG00000036549.wgt.RDat	ENSG00000036549	-4.3	1.6e-05	-4.3	1	-4.3	1.6e-05
/data/songy4/twas/output/weights//ENSG00000117500.wgt.RDat	ENSG00000117500	-4.5	6.1e-06	-4.5	1	-4.5	6.1e-06
/data/songy4/twas/output/weights//ENSG00000143537.wgt.RDat	ENSG00000143537	 5.8	7.9e-09	 5.8	1	 5.8	7.9e-09
/data/songy4/twas/output/weights//ENSG00000160783.wgt.RDat	ENSG00000160783	 5.6	1.7e-08	 5.6	1	 5.6	1.7e-08
/data/songy4/twas/output/weights//ENSG00000072694.wgt.RDat	ENSG00000072694	-5.0	7.1e-07	-5.0	1	-5.0	7.1e-07
/data/songy4/twas/output/weights//ENSG00000117280.wgt.RDat	ENSG00000117280	 8.4	5.4e-17	 8.4	1	 8.4	5.4e-17
/data/songy4/twas/output/weights//ENSG00000143772.wgt.RDat	ENSG00000143772	-6.3	2.5e-10	-6.3	1	-6.3	2.5e-10
