FILE	ID	TWAS.Z	TWAS.P	JOINT.BETA	JOINT.BETA.SE	JOINT.Z	JOINT.P
/data/songy4/twas/output/weights//ENSG00000198171.wgt.RDat	ENSG00000198171	 4.0	7.3e-05	 4.0	1	 4.0	7.3e-05
/data/songy4/twas/output/weights//ENSG00000101294.wgt.RDat	ENSG00000101294	-4.1	3.5e-05	-4.1	1	-4.1	3.5e-05
/data/songy4/twas/output/weights//ENSG00000215529.wgt.RDat	ENSG00000215529	 4.1	4.2e-05	 4.1	1	 4.1	4.2e-05
/data/songy4/twas/output/weights//ENSG00000078804.wgt.RDat	ENSG00000078804	 4.0	6.2e-05	 4.0	1	 4.0	6.2e-05
/data/songy4/twas/output/weights//ENSG00000196396.wgt.RDat	ENSG00000196396	 3.9	9.2e-05	 3.9	1	 3.9	9.2e-05
