FILE	ID	TWAS.Z	TWAS.P	COND.BETA	COND.BETA.SE	COND.Z	COND.P
/data/songy4/tes/output/weights_control//ENST00000256178.8.wgt.RDat	ENST00000256178.8	-5.5	3.1e-08	-1.01	0.66	-1.54	0.12
/data/songy4/tes/output/weights_control//ENST00000531706.1.wgt.RDat	ENST00000531706.1	-5.5	4.3e-08	-0.91	0.65	-1.41	0.16
/data/songy4/tes/output/weights_control//ENST00000533631.1.wgt.RDat	ENST00000533631.1	-5.3	9.7e-08	-0.23	0.53	-0.44	0.66
/data/songy4/tes/output/weights_control//ENST00000529598.1.wgt.RDat	ENST00000529598.1	-5.3	9.6e-08	-0.71	0.64	-1.12	0.26
/data/songy4/tes/output/weights_control//ENST00000438354.6.wgt.RDat	ENST00000438354.6	-5.5	3.9e-08	-0.94	0.65	-1.45	0.15
