FILE	ID	TWAS.Z	TWAS.P	JOINT.BETA	JOINT.BETA.SE	JOINT.Z	JOINT.P
/data/songy4/tes/output/weights_control//ENST00000498377.1.wgt.RDat	ENST00000498377.1	-6.4	1.3e-10	 -6.4	1.0	-6.4	1.3e-10
/data/songy4/tes/output/weights_control//ENST00000482287.5.wgt.RDat	ENST00000482287.5	-4.1	3.9e-05	 -4.1	1.0	-4.1	3.9e-05
/data/songy4/tes/output/weights_control//ENST00000473285.5.wgt.RDat	ENST00000473285.5	 6.2	4.9e-10	  6.2	1.0	 6.2	4.9e-10
/data/songy4/tes/output/weights_control//ENST00000490681.1.wgt.RDat	ENST00000490681.1	 4.8	1.5e-06	  7.0	2.5	 2.8	5.4e-03
/data/songy4/tes/output/weights_control//ENST00000484632.1.wgt.RDat	ENST00000484632.1	-4.2	3.2e-05	 14.1	2.6	 5.4	5.5e-08
/data/songy4/tes/output/weights_control//ENST00000461966.5.wgt.RDat	ENST00000461966.5	-4.8	1.5e-06	-10.0	2.8	-3.6	2.7e-04
/data/songy4/tes/output/weights_control//ENST00000623443.1.wgt.RDat	ENST00000623443.1	-5.3	9.9e-08	-11.1	1.5	-7.6	2.8e-14
