FILE	ID	TWAS.Z	TWAS.P	COND.BETA	COND.BETA.SE	COND.Z	COND.P
/data/songy4/twas/output/weights_control//ENSG00000197774.wgt.RDat	ENSG00000197774	-4.1	4.7e-05	-0.46	0.59	-0.78	0.435
/data/songy4/twas/output/weights_control//ENSG00000197272.wgt.RDat	ENSG00000197272	-4.0	6.0e-05	 0.52	0.35	 1.50	0.134
/data/songy4/twas/output/weights_control//ENSG00000176476.wgt.RDat	ENSG00000176476	 3.9	1.0e-04	-0.65	0.34	-1.90	0.057
/data/songy4/twas/output/weights_control//ENSG00000197165.wgt.RDat	ENSG00000197165	-3.9	8.7e-05	 0.18	0.53	 0.35	0.728
/data/songy4/twas/output/weights_control//ENSG00000196993.wgt.RDat	ENSG00000196993	 4.3	1.6e-05	-0.30	0.31	-0.98	0.329
