FILE	ID	TWAS.Z	TWAS.P	COND.BETA	COND.BETA.SE	COND.Z	COND.P
/data/songy4/twas/output/weights_control//ENSG00000164048.wgt.RDat	ENSG00000164048	 4.3	1.4e-05	 0.436	0.45	 0.967	0.334
/data/songy4/twas/output/weights_control//ENSG00000172113.wgt.RDat	ENSG00000172113	-4.1	3.4e-05	 0.715	0.58	 1.223	0.221
/data/songy4/twas/output/weights_control//ENSG00000177479.wgt.RDat	ENSG00000177479	 5.9	3.2e-09	-0.151	0.33	-0.462	0.644
/data/songy4/twas/output/weights_control//ENSG00000178252.wgt.RDat	ENSG00000178252	-5.5	4.2e-08	 0.677	0.29	 2.373	0.018
/data/songy4/twas/output/weights_control//ENSG00000198218.wgt.RDat	ENSG00000198218	-5.2	2.4e-07	-0.015	0.74	-0.021	0.984
/data/songy4/twas/output/weights_control//ENSG00000185909.wgt.RDat	ENSG00000185909	-4.4	9.7e-06	-1.051	0.85	-1.235	0.217
/data/songy4/twas/output/weights_control//ENSG00000169251.wgt.RDat	ENSG00000169251	 4.0	6.3e-05	 0.277	0.51	 0.544	0.586
